"STATISTIC","Statistic Label","C02363V02844","Consumer Item","TLIST(M1)","Month","UNIT","VALUE"
"CPM04","National Average  Price","10010","Round steak per kg.","200112","2001M12","Euro","8.414"
"CPM04","National Average  Price","10010","Round steak per kg.","200201","2002M01","Euro","8.696"
"CPM04","National Average  Price","10010","Round steak per kg.","200202","2002M02","Euro","8.643"
"CPM04","National Average  Price","10010","Round steak per kg.","200203","2002M03","Euro","8.791"
"CPM04","National Average  Price","10010","Round steak per kg.","200204","2002M04","Euro","8.599"
"CPM04","National Average  Price","10010","Round steak per kg.","200205","2002M05","Euro","8.607"
"CPM04","National Average  Price","10010","Round steak per kg.","200206","2002M06","Euro","8.742"
"CPM04","National Average  Price","10010","Round steak per kg.","200207","2002M07","Euro","8.733"
"CPM04","National Average  Price","10010","Round steak per kg.","200208","2002M08","Euro","8.806"
"CPM04","National Average  Price","10010","Round steak per kg.","200209","2002M09","Euro","8.696"
"CPM04","National Average  Price","10010","Round steak per kg.","200210","2002M10","Euro","8.838"
"CPM04","National Average  Price","10010","Round steak per kg.","200211","2002M11","Euro","8.79"
"CPM04","National Average  Price","10010","Round steak per kg.","200212","2002M12","Euro","8.887"
"CPM04","National Average  Price","10010","Round steak per kg.","200301","2003M01","Euro","8.9"
"CPM04","National Average  Price","10010","Round steak per kg.","200302","2003M02","Euro","8.399"
"CPM04","National Average  Price","10010","Round steak per kg.","200303","2003M03","Euro","8.876"
"CPM04","National Average  Price","10010","Round steak per kg.","200304","2003M04","Euro","8.87"
"CPM04","National Average  Price","10010","Round steak per kg.","200305","2003M05","Euro","8.669"
"CPM04","National Average  Price","10010","Round steak per kg.","200306","2003M06","Euro","8.263"
"CPM04","National Average  Price","10010","Round steak per kg.","200307","2003M07","Euro","8.899"
"CPM04","National Average  Price","10010","Round steak per kg.","200308","2003M08","Euro","8.884"
"CPM04","National Average  Price","10010","Round steak per kg.","200309","2003M09","Euro","8.794"
"CPM04","National Average  Price","10010","Round steak per kg.","200310","2003M10","Euro","8.881"
"CPM04","National Average  Price","10010","Round steak per kg.","200311","2003M11","Euro","8.985"
"CPM04","National Average  Price","10010","Round steak per kg.","200312","2003M12","Euro","9.017"
"CPM04","National Average  Price","10010","Round steak per kg.","200401","2004M01","Euro","9.007"
"CPM04","National Average  Price","10010","Round steak per kg.","200402","2004M02","Euro","8.869"
"CPM04","National Average  Price","10010","Round steak per kg.","200403","2004M03","Euro","8.998"
"CPM04","National Average  Price","10010","Round steak per kg.","200404","2004M04","Euro","8.913"
"CPM04","National Average  Price","10010","Round steak per kg.","200405","2004M05","Euro","9.003"
"CPM04","National Average  Price","10010","Round steak per kg.","200406","2004M06","Euro","9.087"
"CPM04","National Average  Price","10010","Round steak per kg.","200407","2004M07","Euro","8.733"
"CPM04","National Average  Price","10010","Round steak per kg.","200408","2004M08","Euro","9.183"
"CPM04","National Average  Price","10010","Round steak per kg.","200409","2004M09","Euro","9.16"
"CPM04","National Average  Price","10010","Round steak per kg.","200410","2004M10","Euro","9.026"
"CPM04","National Average  Price","10010","Round steak per kg.","200411","2004M11","Euro","9.203"
"CPM04","National Average  Price","10010","Round steak per kg.","200412","2004M12","Euro","9.258"
"CPM04","National Average  Price","10010","Round steak per kg.","200501","2005M01","Euro","9.166"
"CPM04","National Average  Price","10010","Round steak per kg.","200502","2005M02","Euro","9.262"
"CPM04","National Average  Price","10010","Round steak per kg.","200503","2005M03","Euro","9.258"
"CPM04","National Average  Price","10010","Round steak per kg.","200504","2005M04","Euro","8.605"
"CPM04","National Average  Price","10010","Round steak per kg.","200505","2005M05","Euro","8.526"
"CPM04","National Average  Price","10010","Round steak per kg.","200506","2005M06","Euro","8.599"
"CPM04","National Average  Price","10010","Round steak per kg.","200507","2005M07","Euro","8.418"
"CPM04","National Average  Price","10010","Round steak per kg.","200508","2005M08","Euro","8.478"
"CPM04","National Average  Price","10010","Round steak per kg.","200509","2005M09","Euro","8.378"
"CPM04","National Average  Price","10010","Round steak per kg.","200510","2005M10","Euro","8.31"
"CPM04","National Average  Price","10010","Round steak per kg.","200511","2005M11","Euro","8.439"
"CPM04","National Average  Price","10010","Round steak per kg.","200512","2005M12","Euro","8.588"
"CPM04","National Average  Price","10010","Round steak per kg.","200601","2006M01","Euro","8.671"
"CPM04","National Average  Price","10010","Round steak per kg.","200602","2006M02","Euro","8.747"
"CPM04","National Average  Price","10010","Round steak per kg.","200603","2006M03","Euro","8.867"
"CPM04","National Average  Price","10010","Round steak per kg.","200604","2006M04","Euro","8.902"
"CPM04","National Average  Price","10010","Round steak per kg.","200605","2006M05","Euro","8.81"
"CPM04","National Average  Price","10010","Round steak per kg.","200606","2006M06","Euro","8.694"
"CPM04","National Average  Price","10010","Round steak per kg.","200607","2006M07","Euro","9.17"
"CPM04","National Average  Price","10010","Round steak per kg.","200608","2006M08","Euro","9.332"
"CPM04","National Average  Price","10010","Round steak per kg.","200609","2006M09","Euro","9.294"
"CPM04","National Average  Price","10010","Round steak per kg.","200610","2006M10","Euro","9.319"
"CPM04","National Average  Price","10010","Round steak per kg.","200611","2006M11","Euro","9.231"
"CPM04","National Average  Price","10010","Round steak per kg.","200612","2006M12","Euro","9.372"
"CPM04","National Average  Price","10010","Round steak per kg.","200701","2007M01","Euro","9.259"
"CPM04","National Average  Price","10010","Round steak per kg.","200702","2007M02","Euro","9.639"
"CPM04","National Average  Price","10010","Round steak per kg.","200703","2007M03","Euro","9.625"
"CPM04","National Average  Price","10010","Round steak per kg.","200704","2007M04","Euro","9.46"
"CPM04","National Average  Price","10010","Round steak per kg.","200705","2007M05","Euro","9.353"
"CPM04","National Average  Price","10010","Round steak per kg.","200706","2007M06","Euro","9.332"
"CPM04","National Average  Price","10010","Round steak per kg.","200707","2007M07","Euro","9.501"
"CPM04","National Average  Price","10010","Round steak per kg.","200708","2007M08","Euro","9.305"
"CPM04","National Average  Price","10010","Round steak per kg.","200709","2007M09","Euro","9.402"
"CPM04","National Average  Price","10010","Round steak per kg.","200710","2007M10","Euro","9.484"
"CPM04","National Average  Price","10010","Round steak per kg.","200711","2007M11","Euro","9.5"
"CPM04","National Average  Price","10010","Round steak per kg.","200712","2007M12","Euro","9.571"
"CPM04","National Average  Price","10010","Round steak per kg.","200801","2008M01","Euro","9.802"
"CPM04","National Average  Price","10010","Round steak per kg.","200802","2008M02","Euro","10.03"
"CPM04","National Average  Price","10010","Round steak per kg.","200803","2008M03","Euro","10.225"
