"STATISTIC","STATISTIC Label","TLIST(M1)","Month","C02363V03422","Consumer Item","UNIT","VALUE"
"CPM12","National Average Price","201201","2012 January","10020","White, self raising flour per 2 kg","Euro","2.13"
"CPM12","National Average Price","201201","2012 January","10030","Brown, wholemeal flour per 2 kg","Euro","2.495"
"CPM12","National Average Price","201201","2012 January","10040","Bread, white sliced pan, large (800g)","Euro","1.276"
"CPM12","National Average Price","201201","2012 January","10050","Bread, brown sliced pan, large (800g)","Euro","1.539"
"CPM12","National Average Price","201201","2012 January","10190","Spaghetti per 500g","Euro","1.202"
"CPM12","National Average Price","201201","2012 January","10280","Sirloin steak per kg","Euro","15.093"
"CPM12","National Average Price","201201","2012 January","10290","Striploin steak per kg","Euro","20.922"
"CPM12","National Average Price","201201","2012 January","10300","Roast beef - topside or rib per kg","Euro","11.259"
"CPM12","National Average Price","201201","2012 January","10310","Sliced / diced beef pieces per kg","Euro","9.706"
"CPM12","National Average Price","201201","2012 January","10320","Pork loin chops per kg","Euro","8.399"
"CPM12","National Average Price","201201","2012 January","10330","Pork steak per kg","Euro","9.34"
"CPM12","National Average Price","201201","2012 January","10340","Lamb - whole leg / half leg per kg","Euro","12.527"
"CPM12","National Average Price","201201","2012 January","10350","Lamb loin chops per kg","Euro","18.601"
"CPM12","National Average Price","201201","2012 January","10360","Lamb gigot chops per kg","Euro","13.138"
"CPM12","National Average Price","201201","2012 January","10370","Uncooked chicken medium size 1.6kg","Euro","5.361"
"CPM12","National Average Price","201201","2012 January","10400","Lamb's liver per kg","Euro","5.626"
"CPM12","National Average Price","201201","2012 January","10410","Ham fillet per kg","Euro","6.231"
"CPM12","National Average Price","201201","2012 January","10420","Cooked ham per kg","Euro","16.341"
"CPM12","National Average Price","201201","2012 January","10440","Best back rashers per kg","Euro","10.349"
"CPM12","National Average Price","201201","2012 January","10450","Pork sausages per kg","Euro","5.431"
"CPM12","National Average Price","201201","2012 January","10520","Fresh fillet of whiting per kg","Euro","10.671"
"CPM12","National Average Price","201201","2012 January","10530","Fresh fillet of cod per kg","Euro","16.591"
"CPM12","National Average Price","201201","2012 January","10540","Fresh salmon per kg","Euro","14.077"
"CPM12","National Average Price","201201","2012 January","10550","Fresh fillet of plaice per kg","Euro","17.932"
"CPM12","National Average Price","201201","2012 January","10570","Fresh hake per kg","Euro",""
"CPM12","National Average Price","201201","2012 January","10590","Smoked salmon per kg","Euro","24.552"
"CPM12","National Average Price","201201","2012 January","10630","Full fat milk per 2 litre","Euro","1.778"
"CPM12","National Average Price","201201","2012 January","10640","Low fat milk per 1 litre","Euro","1.055"
"CPM12","National Average Price","201201","2012 January","10680","Irish cheddar per kg","Euro","10.701"
"CPM12","National Average Price","201201","2012 January","10730","Large eggs per half dozen","Euro","1.813"
"CPM12","National Average Price","201201","2012 January","10740","Medium eggs per half dozen","Euro","1.559"
"CPM12","National Average Price","201201","2012 January","10750","Butter per lb","Euro","2.769"
"CPM12","National Average Price","201201","2012 January","10840","Grapes per kg","Euro","6.154"
"CPM12","National Average Price","201201","2012 January","10850","Bananas per kg","Euro","1.33"
"CPM12","National Average Price","201201","2012 January","10910","Tomatoes per kg","Euro","2.768"
"CPM12","National Average Price","201201","2012 January","10920","Onions per kg","Euro","1.215"
"CPM12","National Average Price","201201","2012 January","10940","Broccoli per kg","Euro","2.714"
"CPM12","National Average Price","201201","2012 January","10950","Carrots per kg","Euro","1.183"
"CPM12","National Average Price","201201","2012 January","10960","Mushrooms per kg","Euro","4.282"
"CPM12","National Average Price","201201","2012 January","11040","Tomatoes tinned per 400g","Euro","0.844"
"CPM12","National Average Price","201201","2012 January","11090","Potatoes 2.5 kg","Euro","3.06"
"CPM12","National Average Price","201201","2012 January","11095","Potatoes 7.5 kg","Euro",""
"CPM12","National Average Price","201201","2012 January","11100","Potatoes 10 kg","Euro","5.064"
"CPM12","National Average Price","201201","2012 January","11150","White granulated sugar per 1 kg","Euro","1.299"
"CPM12","National Average Price","201201","2012 January","11160","Jam per lb","Euro","1.765"
"CPM12","National Average Price","201201","2012 January","11180","Marmalade per lb","Euro","1.874"
"CPM12","National Average Price","201201","2012 January","11570","Tea bags per 80","Euro","2.788"
"CPM12","National Average Price","201201","2012 January","11640","Orange juice per litre","Euro","1.346"
"CPM12","National Average Price","201201","2012 January","11680","Whiskey - take home (70cl bottle)","Euro","21.957"
"CPM12","National Average Price","201201","2012 January","11690","Brandy - take home (70cl bottle)","Euro","25.681"
"CPM12","National Average Price","201201","2012 January","11700","Vodka - take home (70cl bottle)","Euro","17.791"
"CPM12","National Average Price","201201","2012 January","11710","Cream liqueur - take home (70cl bottle)","Euro","15.331"
"CPM12","National Average Price","201201","2012 January","11730","Wine - take home (75cl bottle)","Euro","8.953"
"CPM12","National Average Price","201201","2012 January","11740","Cider - take home (50cl can)","Euro","2.125"
"CPM12","National Average Price","201201","2012 January","11750","Sherry - take home (75cl bottle)","Euro","11.302"
"CPM12","National Average Price","201201","2012 January","11760","Lager - take home (50cl can)","Euro","1.778"
"CPM12","National Average Price","201201","2012 January","11780","Stout - take home (50cl can)","Euro","2.036"
"CPM12","National Average Price","201201","2012 January","11790","Filtered cigarettes per 20 pk","Euro","9.014"
