Month,Item,Value
201801,"White, self raising flour per 2 kg",2.338
201801,"Brown, wholemeal flour per 2 kg",2.84
201801,"Bread, white sliced pan, large (800g)",1.268
201801,"Bread, brown sliced pan, large (800g)",1.416
201801,Spaghetti per 500g,1.1
201801,Sirloin steak per kg,16.127
201801,Striploin steak per kg,20.429
201801,Roast beef - topside or rib per kg,13.598
201801,Sliced / diced beef pieces per kg,10.851
201801,Pork loin chops per kg,8.254
201801,Pork steak per kg,9.299
201801,Lamb - whole leg / half leg per kg,11.861
201801,Lamb loin chops per kg,16.657
201801,Lamb gigot chops per kg,
201801,Uncooked chicken medium size 1.6kg,4.739
201801,Lamb's liver per kg,5.912
201801,Ham fillet per kg,5.647
201801,Cooked ham per kg,17.841
201801,Best back rashers per kg,9.764
201801,Pork sausages per kg,6.073
201801,Fresh fillet of whiting per kg,
201801,Fresh fillet of cod per kg,17.551
201801,Fresh salmon per kg,21.181
201801,Fresh fillet of plaice per kg,
201801,Fresh hake per kg,16.419
201801,Smoked salmon per kg,30.619
201801,Full fat milk per 2 litre,1.7
201801,Low fat milk per 1 litre,1.038
201801,Irish cheddar per kg,9.611
201801,Large eggs per half dozen,1.728
201801,Medium eggs per half dozen,1.438
201801,Butter per lb,3.005
201801,Grapes per kg,4.997
201801,Bananas per kg,1.405
201801,Tomatoes per kg,3.097
201801,Onions per kg,1.058
201801,Broccoli per kg,2.667
201801,Carrots per kg,1.166
201801,Mushrooms per kg,3.955
201801,Tomatoes tinned per 400g,0.835
201801,Potatoes 2.5 kg,3.208
201801,Potatoes 7.5 kg,5.518
201801,Potatoes 10 kg,
201801,White granulated sugar per 1 kg,1.304
201801,Jam per lb,1.062
201801,Marmalade per lb,2.014
201801,Tea bags per 80,2.633
201801,Orange juice per litre,1.379
201801,Whiskey - take home (70cl bottle),26.304
201801,Brandy - take home (70cl bottle),31.241
201801,Vodka - take home (70cl bottle),19.053
201801,Cream liqueur - take home (70cl bottle),15.192
201801,Wine - take home (75cl bottle),
201801,Cider - take home (50cl can),2.071
201801,Sherry - take home (75cl bottle),
201801,Lager - take home (50cl can),1.993
201801,Stout - take home (50cl can),2.256
201801,Filtered cigarettes per 20 pk,11.866
201801,Stout - draught bar (1 pint),4.488
201801,Lager - draught bar (1 pint),4.882
201801,Lager - bar (33cl bottle),4.797
201801,Cider - draught bar (1 pint),4.956
201801,Ale - draught bar (1 pint),4.538
201801,Cider - bar (33cl bottle),4.946
201801,Flavoured alcoholic drink - bar (275ml bottle),5.466
201801,Whiskey - bar (single) per ½ glass,4.309
201801,Brandy - bar (single) per ½ glass,4.761
201801,Vodka - bar (single) per ½ glass,4.343
201801,Wine - bar (187ml bottle),
201801,Diesel per litre,1.273
201801,Petrol - unleaded per litre,1.377
201801,Cinema fee,9.645
201801,Nightclubs fee,9.065
201801,Gent's dry cut fee,12.566
201801,"Gent's wash, cut, and blow dry fee",
201801,"Ladies' wash, cut and blow dry fee",39.389
201802,"White, self raising flour per 2 kg",2.323
