Month,Item,Value
201501,"White, self raising flour per 2 kg",2.288
201501,"Brown, wholemeal flour per 2 kg",2.987
201501,"Bread, white sliced pan, large (800g)",1.261
201501,"Bread, brown sliced pan, large (800g)",1.371
201501,Spaghetti per 500g,1.122
201501,Sirloin steak per kg,16.548
201501,Striploin steak per kg,22.765
201501,Roast beef - topside or rib per kg,13.003
201501,Sliced / diced beef pieces per kg,10.514
201501,Pork loin chops per kg,7.819
201501,Pork steak per kg,9.697
201501,Lamb - whole leg / half leg per kg,11.683
201501,Lamb loin chops per kg,17.319
201501,Lamb gigot chops per kg,12.875
201501,Uncooked chicken medium size 1.6kg,5.596
201501,Lamb's liver per kg,5.846
201501,Ham fillet per kg,5.903
201501,Cooked ham per kg,17.967
201501,Best back rashers per kg,10.475
201501,Pork sausages per kg,5.843
201501,Fresh fillet of whiting per kg,10.963
201501,Fresh fillet of cod per kg,16.616
201501,Fresh salmon per kg,19.286
201501,Fresh fillet of plaice per kg,18.95
201501,Fresh hake per kg,
201501,Smoked salmon per kg,30.975
201501,Full fat milk per 2 litre,1.727
201501,Low fat milk per 1 litre,1.053
201501,Irish cheddar per kg,10.82
201501,Large eggs per half dozen,1.865
201501,Medium eggs per half dozen,1.606
201501,Butter per lb,2.727
201501,Grapes per kg,5.382
201501,Bananas per kg,1.363
201501,Tomatoes per kg,3.096
201501,Onions per kg,1.137
201501,Broccoli per kg,2.884
201501,Carrots per kg,1.284
201501,Mushrooms per kg,4.445
201501,Tomatoes tinned per 400g,0.967
201501,Potatoes 2.5 kg,3.071
201501,Potatoes 7.5 kg,
201501,Potatoes 10 kg,5.375
201501,White granulated sugar per 1 kg,1.304
201501,Jam per lb,1.717
201501,Marmalade per lb,1.889
201501,Tea bags per 80,2.796
201501,Orange juice per litre,1.484
201501,Whiskey - take home (70cl bottle),25.739
201501,Brandy - take home (70cl bottle),30.601
201501,Vodka - take home (70cl bottle),19.646
201501,Cream liqueur - take home (70cl bottle),15.803
201501,Wine - take home (75cl bottle),10.819
201501,Cider - take home (50cl can),2.296
201501,Sherry - take home (75cl bottle),13.94
201501,Lager - take home (50cl can),1.976
201501,Stout - take home (50cl can),2.213
201501,Filtered cigarettes per 20 pk,9.997
201501,Stout - draught bar (1 pint),4.303
201501,Lager - draught bar (1 pint),4.676
201501,Lager - bar (33cl bottle),4.619
201501,Cider - draught bar (1 pint),4.75
201501,Ale - draught bar (1 pint),4.36
201501,Cider - bar (33cl bottle),4.74
201501,Flavoured alcoholic drink - bar (275ml bottle),5.293
201501,Whiskey - bar (single) per ½ glass,4.053
201501,Brandy - bar (single) per ½ glass,4.577
201501,Vodka - bar (single) per ½ glass,4.111
201501,Wine - bar (187ml bottle),5.306
201501,Diesel per litre,1.23
201501,Petrol - unleaded per litre,1.297
201501,Cinema fee,9.146
201501,Nightclubs fee,9.482
201501,Gent's dry cut fee,11.949
201501,"Gent's wash, cut, and blow dry fee",18.679
201501,"Ladies' wash, cut and blow dry fee",39.517
201502,"White, self raising flour per 2 kg",2.293
201502,"Brown, wholemeal flour per 2 kg",2.98
201502,"Bread, white sliced pan, large (800g)",1.267
201502,"Bread, brown sliced pan, large (800g)",1.366
201502,Spaghetti per 500g,1.097
201502,Sirloin steak per kg,15.101
201502,Striploin steak per kg,20.925
201502,Roast beef - topside or rib per kg,12.464
201502,Sliced / diced beef pieces per kg,10.578
201502,Pork loin chops per kg,7.921
201502,Pork steak per kg,9.318
201502,Lamb - whole leg / half leg per kg,11.995
201502,Lamb loin chops per kg,16.899
201502,Lamb gigot chops per kg,13.131
201502,Uncooked chicken medium size 1.6kg,5.533
201502,Lamb's liver per kg,5.877
201502,Ham fillet per kg,5.99
201502,Cooked ham per kg,17.904
201502,Best back rashers per kg,10.368
201502,Pork sausages per kg,5.864
201502,Fresh fillet of whiting per kg,10.965
201502,Fresh fillet of cod per kg,16.198
201502,Fresh salmon per kg,17.442
201502,Fresh fillet of plaice per kg,19.187
201502,Fresh hake per kg,
201502,Smoked salmon per kg,30.023
201502,Full fat milk per 2 litre,1.728
201502,Low fat milk per 1 litre,1.051
201502,Irish cheddar per kg,10.655
201502,Large eggs per half dozen,1.871
201502,Medium eggs per half dozen,1.598
201502,Butter per lb,2.716
201502,Grapes per kg,5.299
201502,Bananas per kg,1.362
201502,Tomatoes per kg,3.127
201502,Onions per kg,1.236
201502,Broccoli per kg,3.119
201502,Carrots per kg,1.298
201502,Mushrooms per kg,4.339
201502,Tomatoes tinned per 400g,0.937
201502,Potatoes 2.5 kg,2.916
201502,Potatoes 7.5 kg,
201502,Potatoes 10 kg,5.19
201502,White granulated sugar per 1 kg,1.301
201502,Jam per lb,1.981
201502,Marmalade per lb,1.827
201502,Tea bags per 80,2.776
201502,Orange juice per litre,1.578
201502,Whiskey - take home (70cl bottle),25.642
201502,Brandy - take home (70cl bottle),30.792
201502,Vodka - take home (70cl bottle),19.758
201502,Cream liqueur - take home (70cl bottle),16.367
201502,Wine - take home (75cl bottle),10.578
201502,Cider - take home (50cl can),2.245
201502,Sherry - take home (75cl bottle),13.942
201502,Lager - take home (50cl can),1.968
201502,Stout - take home (50cl can),2.225
201502,Filtered cigarettes per 20 pk,9.995
201502,Stout - draught bar (1 pint),4.303
201502,Lager - draught bar (1 pint),4.676
201502,Lager - bar (33cl bottle),4.62
201502,Cider - draught bar (1 pint),4.75
201502,Ale - draught bar (1 pint),4.358
201502,Cider - bar (33cl bottle),4.745
201502,Flavoured alcoholic drink - bar (275ml bottle),5.297
