Month,Item,Value
200112,Round steak per kg.,8.414
200201,Round steak per kg.,8.696
200202,Round steak per kg.,8.643
200203,Round steak per kg.,8.791
200204,Round steak per kg.,8.599
200205,Round steak per kg.,8.607
200206,Round steak per kg.,8.742
200207,Round steak per kg.,8.733
200208,Round steak per kg.,8.806
200209,Round steak per kg.,8.696
200210,Round steak per kg.,8.838
200211,Round steak per kg.,8.79
200212,Round steak per kg.,8.887
200301,Round steak per kg.,8.9
200302,Round steak per kg.,8.399
200303,Round steak per kg.,8.876
200304,Round steak per kg.,8.87
200305,Round steak per kg.,8.669
200306,Round steak per kg.,8.263
200307,Round steak per kg.,8.899
200308,Round steak per kg.,8.884
200309,Round steak per kg.,8.794
200310,Round steak per kg.,8.881
200311,Round steak per kg.,8.985
200312,Round steak per kg.,9.017
200401,Round steak per kg.,9.007
200402,Round steak per kg.,8.869
200403,Round steak per kg.,8.998
200404,Round steak per kg.,8.913
200405,Round steak per kg.,9.003
200406,Round steak per kg.,9.087
200407,Round steak per kg.,8.733
200408,Round steak per kg.,9.183
200409,Round steak per kg.,9.16
200410,Round steak per kg.,9.026
200411,Round steak per kg.,9.203
200412,Round steak per kg.,9.258
200501,Round steak per kg.,9.166
200502,Round steak per kg.,9.262
200503,Round steak per kg.,9.258
200504,Round steak per kg.,8.605
200505,Round steak per kg.,8.526
200506,Round steak per kg.,8.599
200507,Round steak per kg.,8.418
200508,Round steak per kg.,8.478
200509,Round steak per kg.,8.378
200510,Round steak per kg.,8.31
200511,Round steak per kg.,8.439
200512,Round steak per kg.,8.588
200601,Round steak per kg.,8.671
200602,Round steak per kg.,8.747
200603,Round steak per kg.,8.867
200604,Round steak per kg.,8.902
200605,Round steak per kg.,8.81
200606,Round steak per kg.,8.694
200607,Round steak per kg.,9.17
200608,Round steak per kg.,9.332
200609,Round steak per kg.,9.294
200610,Round steak per kg.,9.319
200611,Round steak per kg.,9.231
200612,Round steak per kg.,9.372
200701,Round steak per kg.,9.259
200702,Round steak per kg.,9.639
200703,Round steak per kg.,9.625
200704,Round steak per kg.,9.46
200705,Round steak per kg.,9.353
200706,Round steak per kg.,9.332
200707,Round steak per kg.,9.501
200708,Round steak per kg.,9.305
200709,Round steak per kg.,9.402
200710,Round steak per kg.,9.484
200711,Round steak per kg.,9.5
200712,Round steak per kg.,9.571
200801,Round steak per kg.,9.802
200802,Round steak per kg.,10.03
200803,Round steak per kg.,10.225
200804,Round steak per kg.,10.368
200805,Round steak per kg.,10.359
200806,Round steak per kg.,10.009
200807,Round steak per kg.,10.295
200808,Round steak per kg.,10.285
200809,Round steak per kg.,10.621
200810,Round steak per kg.,10.695
200811,Round steak per kg.,10.756
200812,Round steak per kg.,10.646
200901,Round steak per kg.,10.9
200902,Round steak per kg.,10.557
200903,Round steak per kg.,10.351
200904,Round steak per kg.,10.672
200905,Round steak per kg.,10.33
200906,Round steak per kg.,10.411
200907,Round steak per kg.,10.483
200908,Round steak per kg.,10.32
200909,Round steak per kg.,10.413
200910,Round steak per kg.,10.137
200911,Round steak per kg.,10.109
200912,Round steak per kg.,10.041
201001,Round steak per kg.,10.04
201002,Round steak per kg.,9.899
201003,Round steak per kg.,10.053
201004,Round steak per kg.,10.259
201005,Round steak per kg.,10.319
201006,Round steak per kg.,10.547
201007,Round steak per kg.,10.617
201008,Round steak per kg.,10.345
201009,Round steak per kg.,9.932
201010,Round steak per kg.,10.493
201011,Round steak per kg.,10.446
201012,Round steak per kg.,10.602
201101,Round steak per kg.,10.636
201102,Round steak per kg.,10.577
201103,Round steak per kg.,10.523
201104,Round steak per kg.,10.377
201105,Round steak per kg.,10.428
201106,Round steak per kg.,10.398
201107,Round steak per kg.,10.381
